弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
715.56200,1,25,16777215,Thu May 28 23:54:17 2020,0,9ffea83f,33312778736893959,标题上线
782.37800,1,25,16777215,Thu May 28 23:55:32 2020,0,9ffea83f,33312817921654791,原来是你
923.11100,1,25,16777215,Thu May 28 23:56:40 2020,0,827451b9,33312853638250503,狙击手哩？
1255.01300,1,25,16777215,Thu May 28 23:56:58 2020,0,66191602,33312862670159877,难道是同学的孩子下不去手？
167.20200,1,25,16777215,Fri May 29 00:01:37 2020,0,636776bd,33313009084399621,哈哈，七千元
3.75800,1,25,16777215,Fri May 29 00:03:01 2020,0,a745e074,33313053264052229,太草了
319.10400,1,25,16777215,Fri May 29 00:03:38 2020,0,9746a70a,33313072597172227,搭噶，KO脱哇路
44.05600,1,25,16777215,Fri May 29 00:04:27 2020,0,7953d3c4,33313098275749893,胸又大了
367.28300,1,25,16777215,Fri May 29 00:05:06 2020,0,e88fafcf,33313118709350407,里希特不色了爷的青春过了
441.94300,1,25,16777215,Fri May 29 00:08:33 2020,0,9746a70a,33313227056087043,分还是太高了
144.25300,1,25,16777215,Fri May 29 00:10:03 2020,0,c2e3eb82,33313274463256581,？分太高了
1171.50100,5,25,15138834,Fri May 29 00:12:56 2020,0,e88fafcf,33313365036630021,对城宝具
624.54400,1,25,16777215,Fri May 29 00:13:35 2020,0,9746a70a,33313385444016131,阳菜危
856.93400,1,25,16777215,Fri May 29 00:17:32 2020,0,11ab88e9,33313510003310595,车车，好快的车车
661.86400,1,25,16777215,Fri May 29 00:18:42 2020,0,9746a70a,33313546311303173,这是个悲伤的故事
678.18400,1,25,16777215,Fri May 29 00:19:02 2020,0,9746a70a,33313557121597443,微笑
708.68300,1,25,16777215,Fri May 29 00:19:23 2020,0,7c1e13b0,33313568177258501,胃疼？
722.90400,1,25,16777215,Fri May 29 00:19:53 2020,0,9746a70a,33313583580839941,完结撒花
775.74100,1,25,16777215,Fri May 29 00:21:07 2020,0,9746a70a,33313622728376325,原来是你
822.54100,1,25,16777215,Fri May 29 00:22:00 2020,0,9746a70a,33313650441191431,衣服呢
13.68300,1,25,16777215,Fri May 29 00:22:32 2020,0,4444f8,33313667253534723,好刺激
32.70300,1,25,16777215,Fri May 29 00:22:55 2020,0,4444f8,33313679086714883,有料
1186.74700,1,25,16777215,Fri May 29 00:23:20 2020,0,1b473d17,33313692509011971,瑶？
242.39800,1,25,16777215,Fri May 29 00:25:10 2020,0,4444f8,33313750150283271,哈哈哈哈哈
652.93000,1,25,15138834,Fri May 29 00:25:27 2020,0,be953f4b,33313758785306627,你脸红个泡泡茶壶
762.79700,1,25,16777215,Fri May 29 00:29:44 2020,0,84aa2102,33313893621694469,好手艺
704.63700,1,25,16777215,Fri May 29 00:30:05 2020,0,f7ec2104,33313904468164611,这部分男主声音好好听
1019.24900,5,25,16707842,Fri May 29 00:30:57 2020,0,3194c36b,33313931708596231,加～～～分
1249.56700,1,25,16777215,Fri May 29 00:36:02 2020,0,84aa2102,33314091852365827,果然是女博士
1254.94000,1,25,16777215,Fri May 29 00:38:52 2020,0,a8bf6c5a,33314180730191877,那是他嫂子
1264.16100,1,25,16777215,Fri May 29 00:39:15 2020,0,a8bf6c5a,33314192994861063,时风的孩子，，
409.53300,1,25,16707842,Fri May 29 00:39:27 2020,0,8c0df1b1,33314199108583429,好快的车车
667.52900,1,25,16777215,Fri May 29 00:58:25 2020,0,1debd045,33314795717394437,白头发?
38.24000,1,25,16777215,Fri May 29 01:01:15 2020,0,e84652c3,33314885172985863,好快的车车
729.57300,1,25,16777215,Fri May 29 01:02:53 2020,0,df60592f,33314936577327111,阳菜：当时吧，就挺突然的
718.26600,1,25,16777215,Fri May 29 01:06:09 2020,0,75a08f9f,33315039170002949,撒花了撒花了
509.66700,1,25,16777215,Fri May 29 01:12:09 2020,0,ccc2ce8b,33315228113436675,老草吃嫩牛
1139.05300,1,25,15138834,Fri May 29 01:12:10 2020,0,c9ee8f87,33315228690677763,他这个厕所上了好长时间
736.08800,1,25,16777215,Fri May 29 01:23:00 2020,0,96d1201f,33315569095147523,"|}""{"
967.10700,1,25,16777215,Fri May 29 01:50:22 2020,0,eb5401ab,33316429977092103,苦酒入喉心作痛
61.52800,1,25,16777215,Fri May 29 01:53:19 2020,0,8c276f19,33316522825875461,话说想要摧毁这个荒诞就去抢那些数字球啊
1205.88200,1,25,16707842,Fri May 29 02:04:42 2020,0,3f5baf00,33316880791371783,神奇
690.61000,1,25,16777215,Fri May 29 02:10:02 2020,0,8c276f19,33317048843501575,太难顶了
