弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
130.30000,1,25,16777215,Thu May  7 20:02:29 2020,0,b253152b,32354218620747783,留个脚印
142.67400,1,25,16777215,Thu May  7 20:02:47 2020,0,b253152b,32354228233568263,老无人区了
375.50700,1,25,16777215,Thu May  7 20:02:59 2020,0,16b26ee8,32354234086195205,嘿嘿嘿，那就……
79.52200,1,25,16777215,Thu May  7 20:03:17 2020,0,1b7ab60c,32354243794436103,李浩荣：真的有这运气逆天的眼睛吗
902.53400,1,25,16777215,Thu May  7 20:03:49 2020,0,8a737d29,32354260310032387,迷惑剧情+2
521.08400,1,25,16777215,Thu May  7 20:04:56 2020,0,a012d5c3,32354295429464069,你这等下给她憋死了
979.76000,1,25,16777215,Thu May  7 20:05:06 2020,0,8a737d29,32354300800794627,迷惑剧情+3
1074.93300,1,25,16777215,Thu May  7 20:06:43 2020,0,8a737d29,32354351780462599,迷惑剧情+4
418.00700,1,25,2236962,Thu May  7 20:07:08 2020,0,e4c2bd29,32354364554739719,正道的光
969.12400,1,25,15138834,Thu May  7 20:12:54 2020,0,a012d5c3,32354545978310659,那你脸红个泡泡茶壶
1001.72400,1,25,16777215,Thu May  7 20:13:34 2020,0,a012d5c3,32354567245529093,发光了
38.07300,1,25,16777215,Thu May  7 20:14:35 2020,0,c32d831d,32354598979633157,姑妈姑妈？
1163.90800,1,25,16777215,Thu May  7 20:14:39 2020,0,e7a5aad,32354601444311045,多丢几块，子弹打完
625.53200,1,25,16777215,Thu May  7 20:16:30 2020,0,e9b17005,32354659224518663,这个声音
889.65700,1,25,16777215,Thu May  7 20:17:24 2020,0,85a2fc01,32354687754698759,这个妹子这…
394.34700,1,25,16777215,Thu May  7 20:20:56 2020,0,219180b1,32354798800470023,开始卖惨。
172.76700,1,25,16777215,Thu May  7 20:21:23 2020,0,883d0941,32354813319577605,每集一问：她这耳朵旁边的是啥？
512.68600,1,25,15138834,Thu May  7 20:21:55 2020,0,1c80ae24,32354829881835523,什么鬼
1058.45600,1,25,16777215,Thu May  7 20:23:24 2020,0,52943145,32354876580167683,说了不杀，打残就好
53.85900,1,25,16777215,Thu May  7 20:26:27 2020,0,1c80d853,32354972248047621,犹豫就会败北，果断就会白给
594.57200,1,25,16777215,Thu May  7 20:35:04 2020,0,94c03a1d,32355243530911747,在柜子里思考
590.11900,1,25,16777215,Thu May  7 20:35:05 2020,0,c4a17663,32355244260720643,女主配音变了？
