弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
1312.71600,1,25,16777215,Thu Jun 25 00:20:57 2020,0,5bd9c4b,34536676600578055,啊啊啊
1300.17700,5,25,16777215,Thu Jun 25 00:22:04 2020,0,94babe74,34536711435845639,前方高能预警！注意！
1329.85300,1,25,16777215,Thu Jun 25 00:22:14 2020,0,f9470a1f,34536716629442565,恭迎，久·威傲来·格雷斯
1300.06400,1,25,16777215,Thu Jun 25 00:22:29 2020,0,fce771b2,34536724821966851,这个镜头感觉照应开头
1324.56600,1,25,16777215,Thu Jun 25 00:22:33 2020,0,94babe74,34536726602448903,不会吧！天
1339.85400,1,25,16777215,Thu Jun 25 00:22:55 2020,0,94babe74,34536738195505159,好看的ed
1352.57800,1,25,16777215,Thu Jun 25 00:23:06 2020,0,94babe74,34536744225341447,泪目
1355.84100,1,25,16777215,Thu Jun 25 00:23:08 2020,0,b435075e,34536745185837061,这是什么操作
219.38600,1,25,16777215,Thu Jun 25 00:23:11 2020,0,ce1e3e72,34536746898685955,必须的!!!
1026.79000,1,25,16777215,Thu Jun 25 00:23:18 2020,0,dd313049,34536750384152581,磕到了磕到了，谢谢
1371.87900,1,25,16777215,Thu Jun 25 00:23:22 2020,0,94babe74,34536752337649667,泪目
1309.51000,1,25,16777215,Thu Jun 25 00:23:40 2020,0,fce771b2,34536761658441735,这bgm厉害了……
441.96600,1,25,16777215,Thu Jun 25 00:23:41 2020,0,26de460,34536762327433221,宥莉大人！！！！！
1245.84600,1,25,16777215,Thu Jun 25 00:23:41 2020,0,b6de6ba0,34536762592722949,高能
1328.38400,1,25,16777215,Thu Jun 25 00:23:53 2020,0,8760a774,34536768698580995,开始了
1371.26900,1,25,16777215,Thu Jun 25 00:24:03 2020,0,9f05be73,34536773923635205,开始有意思了阿
1350.47600,5,25,38979,Thu Jun 25 00:24:22 2020,0,dde6e62,34536783739355139,老绿茶了
1365.78300,1,25,16777215,Thu Jun 25 00:24:42 2020,0,8760a774,34536794143850499,故事要开始了
4.84000,1,25,16777215,Thu Jun 25 00:24:57 2020,0,95f315d7,34536802110406659,怎么完结了
199.66500,1,25,16777215,Thu Jun 25 00:25:13 2020,0,3a64dc3e,34536810650533891,这个雷哈儿画的太漂亮了吧？
1345.64300,1,25,16777215,Thu Jun 25 00:25:56 2020,0,a500a28b,34536833098973189,开始主线
306.21300,1,25,16777215,Thu Jun 25 00:26:12 2020,0,8d51f404,34536841395306503,。。。。
623.16500,1,25,16777215,Thu Jun 25 00:27:06 2020,0,2a6322c9,34536870116851719,正当防卫
454.92600,1,25,16777215,Thu Jun 25 00:27:18 2020,0,ce1e3e72,34536876356403203,宥莉姐姐!!!!
998.69600,1,25,16777215,Thu Jun 25 00:27:22 2020,0,95ef6872,34536878080262147,最爱枕头
425.44400,1,25,15138834,Thu Jun 25 00:27:34 2020,0,dfe7bb45,34536884399505411,快跑
466.86600,1,25,16777215,Thu Jun 25 00:27:34 2020,0,ce1e3e72,34536884775944199,太帅了!
475.17500,1,25,15138834,Thu Jun 25 00:28:50 2020,0,dfe7bb45,34536924319842307,快跑啊
320.93800,1,25,16777215,Thu Jun 25 00:29:19 2020,0,5321d80e,34536939586584581,鳄鱼是原住民哦
686.25500,1,25,16777215,Thu Jun 25 00:29:22 2020,0,53e3512b,34536941329317893,昆，永远滴神
1104.76500,1,25,16777215,Thu Jun 25 00:29:35 2020,0,95ef6872,34536948112556035,把套子拿掉啊啊啊
649.41000,1,25,16777215,Thu Jun 25 00:29:46 2020,0,8d51f404,34536953739214853,。。。
708.01600,1,25,16777215,Thu Jun 25 00:29:51 2020,0,53e3512b,34536956350693379,蓝莓！
1401.74000,5,25,15138834,Thu Jun 25 00:30:27 2020,0,806feb89,34536975260188677,恭敬王
608.33300,1,25,16777215,Thu Jun 25 00:30:35 2020,0,282d309d,34536979251593219,宥莉姐A爆了！
632.98000,1,25,16777215,Thu Jun 25 00:30:44 2020,0,ce1e3e72,34536984165220355,强啊!
729.70200,1,25,16777215,Thu Jun 25 00:31:39 2020,0,281dba3b,34537013095956487,绝了
623.79400,1,25,16777215,Thu Jun 25 00:31:56 2020,0,3b589a30,34537021840031751,！战争姬
1248.04000,1,25,16777215,Thu Jun 25 00:32:29 2020,0,95ef6872,34537039078096903,大家吃东西一定要嚼
1354.36600,5,25,38979,Thu Jun 25 00:32:47 2020,0,62496616,34537048480677893,这尼玛就离谱
17.07900,1,25,16777215,Thu Jun 25 00:33:31 2020,0,4db60195,34537071762210819,更13追12
859.74800,1,25,15138834,Thu Jun 25 00:34:05 2020,0,dfe7bb45,34537089590099971,科普伊凡科尔超级高手
1335.44100,1,25,16777215,Thu Jun 25 00:34:36 2020,0,69010996,34537105822580743,什么什么什么鬼
1346.16700,1,25,16777215,Thu Jun 25 00:35:14 2020,0,ce2b747b,34537125746049029,正片要开始啦
635.19900,1,25,16777215,Thu Jun 25 00:35:15 2020,0,d1ceee64,34537126127206407,好厉害，好帅啊啊啊
1363.61000,1,25,16777215,Thu Jun 25 00:35:16 2020,0,69010996,34537126730661891,ed神了
973.37300,1,25,16777215,Thu Jun 25 00:35:55 2020,0,2a6322c9,34537147449475079,好听吗？好听就好头啊
627.42800,1,25,16777215,Thu Jun 25 00:35:56 2020,0,99c079f,34537147886207047,宥佳姐赛高
1380.05400,1,25,16777215,Thu Jun 25 00:36:55 2020,0,9f091c48,34537178576977925,啊，这，也太棒了吧
1385.29400,1,25,16777215,Thu Jun 25 00:37:08 2020,0,9f091c48,34537185534803971,deep
718.86800,1,25,16777215,Thu Jun 25 00:38:03 2020,0,b7701b3f,34537214204968963,这声音……
1313.93900,1,25,16777215,Thu Jun 25 00:38:19 2020,0,7e19fea,34537222976307207,专门看这个场景
646.78600,1,25,16777215,Thu Jun 25 00:39:40 2020,0,b981d816,34537265286873091,男主那里有高能，别再说风凉话了
1338.82400,1,25,16777215,Thu Jun 25 00:39:41 2020,0,4e0495b0,34537265477189637,完结撒花，感谢陪伴
397.92200,1,25,16777215,Thu Jun 25 00:40:29 2020,0,1c640da7,34537291098095619,要出事
1210.24100,1,25,16777215,Thu Jun 25 00:40:37 2020,0,ce1e3e72,34537294848327685,？嗯？为什么改了？
1235.18100,1,25,16777215,Thu Jun 25 00:41:08 2020,0,ce1e3e72,34537311094439939,改的不错!
1351.29300,1,25,16777215,Thu Jun 25 00:43:05 2020,0,282d309d,34537372425125891,正道的光
1321.28500,1,25,16777215,Thu Jun 25 00:43:08 2020,0,5f0a0a0e,34537374118051847,心疼⊙﹏⊙
1325.29000,1,25,16777215,Thu Jun 25 00:43:24 2020,0,ce1e3e72,34537382817562629,危!
901.14300,1,25,15138834,Thu Jun 25 00:43:25 2020,0,314d8a81,34537383303053319,狙击手报告，是五彩斑斓的黑
212.81500,1,25,16777215,Thu Jun 25 00:43:58 2020,0,b34298fb,34537400283693063,你也是佩可莉姆?
44.32900,1,25,16777215,Thu Jun 25 00:44:08 2020,0,78c78e28,34537405462609925,没了啊
1329.83500,1,25,16777215,Thu Jun 25 00:44:08 2020,0,4eeed709,34537405748346883,SIMP
1343.17000,1,25,16777215,Thu Jun 25 00:44:12 2020,0,a02d8cd7,34537408031096835,反转毫无逻辑
