弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
1119.91500,1,25,16777215,Fri Jun 12 22:57:34 2020,0,35f43614,33990471356776453,总觉得男主的女友会反闹中男主的水
1043.77900,1,25,16777215,Fri Jun 12 22:57:46 2020,0,ae36af48,33990477972242439,呢咯呢咯呢咯呢咯
309.80000,1,25,16777215,Fri Jun 12 23:04:15 2020,0,30f472fc,33990681830621191,那必定出现了呗
1009.69800,1,25,16777215,Fri Jun 12 23:11:49 2020,0,797f63b9,33990919800750087,勇ましい
582.88200,5,25,8700107,Fri Jun 12 23:13:06 2020,0,d23ad106,33990960057155591,www！
1143.59100,1,25,16777215,Fri Jun 12 23:13:15 2020,0,5d71754,33990964942471175,唇枪舌剑
1143.59100,1,25,16777215,Fri Jun 12 23:13:23 2020,0,5d71754,33990969106890819,唇枪舌剑
584.14100,1,25,16777215,Fri Jun 12 23:24:07 2020,0,fade5642,33991306564861957,真男人！
218.60800,1,25,16777215,Fri Jun 12 23:26:28 2020,0,2f2a39bd,33991380681883655,鲷鱼烧
842.06500,1,25,16777215,Fri Jun 12 23:31:35 2020,0,a3d8781,33991541453225987,不止一个
320.74100,1,25,16777215,Fri Jun 12 23:37:16 2020,0,a70e59a3,33991720379613191,高能
638.26100,1,25,16777215,Fri Jun 12 23:37:53 2020,0,583bea25,33991739869495303,哞哞酱哈哈哈
1129.61800,1,25,16777215,Fri Jun 12 23:42:14 2020,0,98866861,33991876528832519,怎么有安全裤了，本来就什么都没有
638.70100,1,25,16777215,Fri Jun 12 23:43:33 2020,0,a70e59a3,33991918254817285,玩牛子？
470.05400,1,18,15138834,Fri Jun 12 23:47:14 2020,0,56abec27,33992033728724995,夜没有过去，所以一开始夜什么都没有，只有蕾哈尔。
306.75900,1,25,16777215,Fri Jun 12 23:47:44 2020,0,b75083c9,33992049742053379,那绝对有了
661.13200,1,25,16777215,Fri Jun 12 23:52:35 2020,0,31e16cc7,33992202128982019,高手都要躲的好渣啊
703.91000,5,25,15138834,Fri Jun 12 23:54:03 2020,0,310f7c59,33992248306171911,上才艺
666.97100,1,25,16777215,Fri Jun 12 23:56:37 2020,0,de344656,33992329426108423,老悟空贝吉塔了
510.40000,1,25,16777215,Sat Jun 13 00:03:09 2020,0,208de964,33992534685384711,牛狂暴了！有内鬼！
850.48600,1,25,16777215,Sat Jun 13 00:10:24 2020,0,e65b8e0,33992762832977923,她们还是成长中的公主，真正强的公主是被授予十三月的公主
538.48300,1,25,16777215,Sat Jun 13 00:43:49 2020,0,733acf18,33993813838528519,这个叫牛？
1337.73800,1,25,16777215,Sat Jun 13 00:45:13 2020,0,b5782192,33993857753415683,胃疼
9.46800,1,25,16777215,Sat Jun 13 00:47:34 2020,0,18a5d67a,33993932103221255,01收到，over
943.89500,5,25,41194,Sat Jun 13 00:48:34 2020,0,c101b0f5,33993963367563269,BGM起！开场面！
773.30900,1,25,16777215,Sat Jun 13 00:48:47 2020,0,638d42be,33993970394071047,男主小孩子呀
354.68200,1,25,16777215,Sat Jun 13 00:51:32 2020,0,a92922b4,33994056658321413,一个
1059.69500,5,25,41194,Sat Jun 13 00:51:55 2020,0,c101b0f5,33994068964933639,真就玩
1218.56600,5,25,41194,Sat Jun 13 00:57:32 2020,0,c101b0f5,33994245590745091,好可爱，但也狠！
1296.34300,5,25,41194,Sat Jun 13 01:03:42 2020,0,c101b0f5,33994439601422339,一个玩小鸟，一个玩巨龙
1301.36300,5,25,41194,Sat Jun 13 01:04:16 2020,0,c101b0f5,33994457113690119,一个玩小鸟，一个玩海龙
211.37000,1,25,16777215,Sat Jun 13 01:08:14 2020,0,75661c17,33994582138552327,quin？
332.67900,1,25,16777215,Sat Jun 13 01:16:11 2020,0,248c6eb3,33994831969124359,背刺？
1037.69900,5,25,15138834,Sat Jun 13 01:19:13 2020,0,98134185,33994927687860229,这才是牛吧
575.26600,1,25,16777215,Sat Jun 13 01:20:13 2020,0,248c6eb3,33994959156674567,哈哈哈哈
585.44000,1,25,16777215,Sat Jun 13 01:20:24 2020,0,248c6eb3,33994964485537795,一看就很难吃
22.37000,1,25,16777215,Sat Jun 13 01:29:01 2020,0,8ee5b9c9,33995235882696709,没了？
306.47200,1,25,16777215,Sat Jun 13 01:38:28 2020,0,31323fbf,33995533185974279,完了绝对遇上了
858.64100,1,25,16777215,Sat Jun 13 01:43:20 2020,0,c657030,33995686182649863,可可爱爱
67.54800,5,25,9033215,Sat Jun 13 01:43:21 2020,0,502f4f0,33995686508232711,狗娃～～～
73.07700,5,25,9033215,Sat Jun 13 01:43:51 2020,0,502f4f0,33995702420373507,狐狸拽蛋！
911.60800,1,25,16777215,Sat Jun 13 01:44:13 2020,0,c657030,33995713920630787,可爱！
992.84700,1,25,16777215,Sat Jun 13 01:45:34 2020,0,c657030,33995756536856581,陷阱啊
1052.12400,1,25,16777215,Sat Jun 13 01:46:49 2020,0,c657030,33995795671285765,好灵活的舌头
1230.27600,1,25,16777215,Sat Jun 13 01:49:47 2020,0,c657030,33995889081057283,恶人行为！
330.04600,1,25,16777215,Sat Jun 13 01:59:53 2020,0,a9bd67b3,33996206945861637,这还复杂？
871.30000,1,25,16777215,Sat Jun 13 02:00:18 2020,0,86b25e5d,33996220040478727,米蒂？
1333.77800,5,25,9033215,Sat Jun 13 02:06:06 2020,0,502f4f0,33996402193334279,又要七个世纪后见了诸位！
1117.10000,1,25,16777215,Sat Jun 13 02:34:31 2020,0,b59ba5b6,33997296155754499,夜～
1143.58200,1,25,16777215,Sat Jun 13 02:38:20 2020,0,226a032b,33997416228716549,这舌头
211.29100,1,25,11890,Sat Jun 13 02:52:08 2020,0,30c6c804,33997850273120261,这么可爱
384.03200,1,25,15138834,Sat Jun 13 02:55:34 2020,0,30c6c804,33997958401753091,其目的不在于目的
528.79100,1,25,15138834,Sat Jun 13 02:58:37 2020,0,30c6c804,33998054555648003,这是美人鱼吧！
710.63200,1,25,15138834,Sat Jun 13 03:01:51 2020,0,30c6c804,33998156081397765,水蛭大军
875.12900,1,25,16646914,Sat Jun 13 03:14:31 2020,0,c7bfc68b,33998554671874051,送终鲸doge
34.41900,1,25,16777215,Sat Jun 13 03:21:56 2020,0,6190cfa4,33998787972169735,这op真是太燃了
676.53900,1,25,16777215,Sat Jun 13 04:01:31 2020,0,b9de9d23,34000032784449541,这是小牛
9.07300,1,25,16777215,Sat Jun 13 04:11:50 2020,0,c8e83efa,34000357787959299,油炸的瓜~
496.91000,1,25,16646914,Sat Jun 13 04:26:55 2020,0,11d11432,34000831824527367,酸的人已经死了
906.60500,1,25,16777215,Sat Jun 13 06:11:48 2020,0,f044e871,34004131481911299,随着剧情发展去了解世界观
1007.30400,1,25,16777215,Sat Jun 13 06:23:50 2020,0,1d42ab5f,34004509676535815,无人区
377.77800,1,25,16777215,Sat Jun 13 07:24:45 2020,0,e1943dbe,34006426439909379,備え在れば憂いなし
400.57800,1,25,16777215,Sat Jun 13 07:25:14 2020,0,e1943dbe,34006441141469189,可愛い
443.53800,1,25,16777215,Sat Jun 13 07:26:04 2020,0,e1943dbe,34006467513155591,flag
301.12200,1,25,16777215,Sat Jun 13 07:35:55 2020,0,9dec938b,34006777540902917,哦好的，绝逼碰到了
792.63100,1,25,16777215,Sat Jun 13 07:36:32 2020,0,6b292931,34006797090553861,叮咚，叮咚～
1342.49200,1,25,16777215,Sat Jun 13 07:46:36 2020,0,50a964f2,34007113342648327,又要七个世纪后见了诸位！
175.92100,1,25,16777215,Sat Jun 13 07:53:10 2020,0,5f04b47,34007320272830469,完了
330.52100,1,25,16777215,Sat Jun 13 07:56:21 2020,0,5f04b47,34007420055846915,现在的小可爱夜看不了多久了啊
387.41500,1,25,16777215,Sat Jun 13 07:57:32 2020,0,5f04b47,34007457531428867,蓝莓！！
587.26600,1,25,16777215,Sat Jun 13 08:01:22 2020,0,2ec636d7,34007577802047493,好耶————！
532.94600,5,25,16777215,Sat Jun 13 08:02:34 2020,0,116d0e92,34007615695486979,好浪漫啊这两人
531.40000,1,25,16777215,Sat Jun 13 08:10:26 2020,0,bd10ae78,34007863365992453,为了能登塔，其他人丧命
1227.11900,5,25,16777215,Sat Jun 13 08:15:08 2020,0,116d0e92,34008011133419523,喜闻乐见的剧情
590.49300,1,25,16777215,Sat Jun 13 08:22:32 2020,0,f5f21512,34008243931971591,赛高你海
664.59000,1,25,16777215,Sat Jun 13 08:29:19 2020,0,d70f4483,34008457479716869,这可能是只小的，大的还没出来
1147.52000,1,25,16777215,Sat Jun 13 08:38:31 2020,0,c5d79d59,34008746760863747,这个好像不是本人，好像是本身，来着
315.17300,1,25,16777215,Sat Jun 13 08:54:15 2020,0,18eaef6a,34009241512050695,安德罗西吊打牛
582.90000,1,25,16777215,Sat Jun 13 08:54:56 2020,0,de9068cf,34009263201845251,大老师又开始了
722.66300,1,25,16777215,Sat Jun 13 08:57:16 2020,0,de9068cf,34009336513560583,星河舰队？
577.36700,1,25,16777215,Sat Jun 13 08:58:47 2020,0,18cb6044,34009384289304581,不好洽
676.24200,1,25,16777215,Sat Jun 13 09:01:11 2020,0,18eaef6a,34009459965034503,这是小牛，大牛实力可以直接秒杀他们
750.26900,1,25,16777215,Sat Jun 13 09:02:33 2020,0,18eaef6a,34009502495277059,雷哈儿声音挺好听
113.23100,1,25,16777215,Sat Jun 13 09:06:06 2020,0,cd17d250,34009614442299395,san值狂掉
1007.16500,1,25,16777215,Sat Jun 13 09:07:06 2020,0,18eaef6a,34009645990805511,宥利要出场了
538.94500,1,25,16777215,Sat Jun 13 09:23:41 2020,0,49087464,34010167630626821,这是那个人把
276.21400,1,25,16777215,Sat Jun 13 09:43:21 2020,0,148795b6,34010786076557319,还有非生物物质和能量
525.65000,1,25,16777215,Sat Jun 13 09:48:59 2020,0,889797b9,34010963619872771,野猫
763.29000,1,25,16777215,Sat Jun 13 10:03:03 2020,0,de3ef2c6,34011405689028611,主角就这么一直躺着？
782.50600,1,25,16777215,Sat Jun 13 10:03:22 2020,0,de3ef2c6,34011415760601091,要不是主角一路躺着片子分应该更高点
1009.38000,1,25,16777215,Sat Jun 13 10:07:09 2020,0,de3ef2c6,34011534712111109,这才是真的
