弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
658.59000,1,25,16777215,Wed Apr 22 05:39:22 2020,0,e67d791a,31647590008225795,老子无尽套装还不能飞了
123.11800,1,25,15138834,Wed Apr 22 05:44:32 2020,0,366ea773,31647752758231043,？？？握草
433.55800,1,25,15138834,Wed Apr 22 05:49:49 2020,0,366ea773,31647918733656067,wryyyyyyy
167.92600,1,25,16777215,Wed Apr 22 08:30:51 2020,0,9cb2623d,31652984197218307,看的胃疼
880.13200,1,25,38979,Wed Apr 22 09:20:19 2020,0,dc9d04a4,31654540593856517,哈哈哈
451.67000,1,25,16777215,Wed Apr 22 10:01:52 2020,0,dcc446c2,31655847533215751,准备好变成—1002了吗？
290.73300,1,25,16777215,Wed Apr 22 11:45:04 2020,0,ed7063c3,31659093761458179,哈哈哈哈哈
339.75300,1,25,16777215,Wed Apr 22 11:51:53 2020,0,de99e653,31659308348866563,变态王
364.89200,1,25,16777215,Wed Apr 22 11:57:11 2020,0,3fb5fbdc,31659475196706823,追了追了
736.55300,1,25,16777215,Wed Apr 22 11:58:35 2020,0,de99e653,31659519278841863,男主是21世纪的吧？
1146.49400,1,25,16777215,Wed Apr 22 12:26:13 2020,0,5e131af7,31660388450304003,567？
11.54000,1,25,16777215,Wed Apr 22 12:28:53 2020,0,3f1c0d23,31660472206884931,评分真的低
237.12800,1,25,16777215,Wed Apr 22 12:34:38 2020,0,26d10b7b,31660652987154437,草，，泥i，，马
550.10900,1,25,16777215,Wed Apr 22 12:39:41 2020,0,370af36,31660811787698179,后宫漫
200.27300,1,25,16777215,Wed Apr 22 13:17:47 2020,0,61c3e2f,31662010399195143,正妃的直觉
307.25600,1,25,16777215,Wed Apr 22 13:18:45 2020,0,61c3e2f,31662041094684677,这助攻
419.24900,1,25,16777215,Wed Apr 22 13:20:02 2020,0,61c3e2f,31662081103101955,你别搞后宫啊
813.44300,1,25,15138834,Wed Apr 22 13:20:10 2020,0,5bb8a0f6,31662085540675589,啦啦啦
905.60800,5,25,15138834,Wed Apr 22 13:24:55 2020,0,61c3e2f,31662234775060483,啊啊啊，快走
455.06500,1,25,16777215,Wed Apr 22 13:31:49 2020,0,eb5782b3,31662451944062983,这个峡谷是真么出现的
783.50600,1,25,16777215,Wed Apr 22 13:35:51 2020,0,eb5782b3,31662578690162695,泡泡茶壶出来走一下程序
684.46400,1,25,16777215,Wed Apr 22 14:10:57 2020,0,e58c5466,31663683264839685,上个妹子也是这么说的，感觉这是一篇为梦想打call的番
459.94500,1,25,15138834,Wed Apr 22 14:28:50 2020,0,977d5593,31664245774483461,牛顿：请打开麦克风交流
104.81300,1,25,16777215,Wed Apr 22 14:36:44 2020,0,aa7286fa,31664494145437701,上头了
772.11200,1,25,16707842,Wed Apr 22 14:40:34 2020,0,4435281e,31664614735347717,泡泡茶壶
542.18300,1,25,16777215,Wed Apr 22 14:59:18 2020,0,ca3133e8,31665203985252359,白给
59.85000,1,25,16777215,Wed Apr 22 15:11:06 2020,0,cf425ba,31665575326384131,有谁玩王牌战士的吗？
78.00900,1,25,16777215,Wed Apr 22 15:11:29 2020,0,cf425ba,31665587287490563,两个都选。
176.78600,1,25,16777215,Wed Apr 22 15:42:20 2020,0,2e2833ec,31666557565272069,女主是男主兄弟的女儿
148.53800,1,25,16777215,Wed Apr 22 15:58:23 2020,0,fc8f3ab2,31667062602989575,假草萍
815.44600,1,25,16777215,Wed Apr 22 16:10:54 2020,0,de204df5,31667456136183813,他泡了得不止1000个
462.46000,1,25,16777215,Wed Apr 22 16:14:00 2020,0,5f8c32ad,31667553769095173,海王
606.10200,1,25,16777215,Wed Apr 22 16:22:40 2020,0,e0dd1383,31667826350620677,莱特妹
1129.88200,1,25,16777215,Wed Apr 22 16:31:24 2020,0,e0dd1383,31668100944887815,上大号
15.94700,1,25,16777215,Wed Apr 22 16:39:30 2020,0,f82871dc,31668356221763591,秀啊
214.33500,1,25,16777215,Wed Apr 22 16:43:22 2020,0,8c2d278,31668477566124037,双马尾
298.44700,1,25,16777215,Wed Apr 22 17:02:57 2020,0,23f57720,31669093503860743,一击打飞男主
638.09100,1,25,41194,Wed Apr 22 18:08:56 2020,0,4a0f2761,31671169227685893,其实这些高层的人都知道，就是不让而已。
336.18700,1,25,16777215,Wed Apr 22 18:27:31 2020,0,2a7b5f0d,31671753873293315,正宫的宽容
1198.37600,1,25,16707842,Wed Apr 22 18:38:42 2020,0,2a7b5f0d,31672105687842823,后宫－1
691.29200,1,25,16777215,Wed Apr 22 18:43:14 2020,0,74ecb8a,31672248414240775,谁想知道男主的梦想
587.55300,1,25,16777215,Wed Apr 22 19:20:07 2020,0,f84584dc,31673408671449159,知识垄断啊
543.85800,1,25,16777215,Wed Apr 22 19:30:04 2020,0,c93787bf,31673721519341575,就这？
556.42600,1,25,16777215,Wed Apr 22 19:30:17 2020,0,c93787bf,31673728125894663,就这？就这？
