弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
878.82300,1,25,16777215,Thu Jun  4 06:03:03 2020,0,c80e5ddf,33596169573629955,道安真爱啊
207.49400,1,25,16777215,Thu Jun  4 06:05:39 2020,0,945d6c7d,33596251596390405,杰尔宝贝
512.71300,1,25,16777215,Thu Jun  4 06:06:21 2020,0,454e56d8,33596273727111173,那个女的好像男的
1172.10100,1,25,15138834,Thu Jun  4 06:08:52 2020,0,c80e5ddf,33596353020428293,道安本来就不坏
298.46400,1,25,16777215,Thu Jun  4 06:12:53 2020,0,877efdf4,33596479169888261,父慈子孝
311.50700,1,25,16777215,Thu Jun  4 06:16:14 2020,0,51aaa25d,33596584435384323,大孝子
641.39500,1,25,16777215,Thu Jun  4 06:18:32 2020,0,514d9839,33596657094361093,应该是忘画眼睛上的阴影了，想表示他低着头，有阴影，看不到眼睛
1154.48700,1,25,16777215,Thu Jun  4 06:19:39 2020,0,c4968db7,33596692106313735,为什么突然打自己人？
1180.96900,1,25,16777215,Thu Jun  4 06:22:00 2020,0,19d2587e,33596765863673861,全员25仔系列
96.08500,1,25,16777215,Thu Jun  4 06:26:38 2020,0,b52e2279,33596911447441415,跌落神探
152.44500,1,25,16777215,Thu Jun  4 06:27:45 2020,0,95b76e54,33596946667536387,无人区
138.22800,1,25,16777215,Thu Jun  4 06:27:08 2020,0,b52e2279,33596927566675975,跌落神坛了
240.82800,1,25,16777215,Thu Jun  4 06:28:59 2020,0,b52e2279,33596985810354179,大尉，你冷静
1263.95300,1,25,15138834,Thu Jun  4 06:37:05 2020,0,3b962c3e,33597240461230085,七个世纪后见
142.28900,1,25,16777215,Thu Jun  4 06:42:57 2020,0,e42a6ab4,33597424811900935,打架场面就跳过了？
1157.40600,1,25,16777215,Thu Jun  4 06:43:08 2020,0,6b5efda5,33597430814474245,道安超温柔的！
653.18600,1,25,16777215,Thu Jun  4 06:45:08 2020,0,56f7dd3d,33597493809774595,就他变老了？
1167.27700,1,18,16777215,Thu Jun  4 06:46:32 2020,0,e926f46e,33597537777614853,???
1077.41800,5,25,16707842,Thu Jun  4 06:53:50 2020,0,d716f6bd,33597767246938119,前方建议闭眼听
232.27200,1,25,16777215,Thu Jun  4 06:54:51 2020,0,933971ed,33597799213301765,？/？/？/
1209.19700,1,25,16777215,Thu Jun  4 06:59:24 2020,0,b0200f6c,33597942435151875,哦豁，完蛋
960.61200,1,25,16777215,Thu Jun  4 06:59:36 2020,0,6498805f,33597948888088579,好尬
