弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
1161.98200,1,25,16777215,Thu May 28 11:15:32 2020,0,cd7489a2,33288910030241799,原来你们有衣服啊
1177.09000,1,25,16777215,Thu May 28 11:16:15 2020,0,632287c,33288933027086343,园原呢，你们都不管了吗？
564.06700,1,25,16777215,Thu May 28 11:15:50 2020,0,7c077ac1,33288919670325253,ub
1136.14800,1,25,16777215,Thu May 28 11:16:35 2020,0,208a9ffa,33288943476146181,道安武虎，重击的击坠王
19.86000,1,25,16777215,Thu May 28 11:15:52 2020,0,bca2ee89,33288920529108995,还真是特别像代达罗斯
515.06800,1,25,16777215,Thu May 28 11:15:54 2020,0,fec8f22d,33288922032766979,尹志平呢
1248.88200,1,25,16777215,Thu May 28 11:17:05 2020,0,cd7489a2,33288959135580167,妹子求，光环开
8.23100,1,25,16777215,Thu May 28 11:20:38 2020,0,820d10e6,33289070770126851,真，开屏雷击
1124.11900,1,25,16777215,Thu May 28 11:23:24 2020,0,809b1f2,33289157547130885,太高了
1192.48100,1,25,16777215,Thu May 28 11:23:24 2020,0,a16a9e99,33289157560762375,圆原呢？
1124.24900,1,25,16777215,Thu May 28 11:22:34 2020,0,d889a187,33289131419238407,道安啊
1011.71900,1,25,16777215,Thu May 28 11:23:51 2020,0,7d436593,33289172049985543,一人脑门一个大包
1015.92000,1,25,16777215,Thu May 28 11:24:13 2020,0,7d436593,33289183628886019,每人脑门都一个大包
359.88000,1,25,16777215,Thu May 28 11:24:56 2020,0,3a4a2ddb,33289206130802691,干得漂亮
542.10300,1,25,16777215,Thu May 28 11:25:59 2020,0,2537e13f,33289239204462599,你就没喝还信念
359.38100,1,25,16777215,Thu May 28 11:27:24 2020,0,64f238df,33289283515187207,啊这。。
613.16000,1,25,16777215,Thu May 28 11:29:56 2020,0,acb93b26,33289363495321605,要暗杀国王了
370.94600,1,25,16777215,Thu May 28 11:31:55 2020,0,5f2454a4,33289425434705925,父亲死了，她是怎么出生的？时间不对啊
176.76500,1,25,16777215,Thu May 28 11:32:13 2020,0,8ae97a6f,33289435108868099,画质变了
793.29900,1,25,16777215,Thu May 28 11:33:14 2020,0,acb93b26,33289467029094403,国——王——
1257.59200,1,25,16777215,Thu May 28 11:36:30 2020,0,19ebd214,33289569900167171,下一集经费燃烧
385.61000,5,25,16777215,Thu May 28 11:37:58 2020,0,c9743e9a,33289616186408967,是的
989.85000,1,25,16777215,Thu May 28 11:38:21 2020,0,f4257875,33289628261285895,到底谁是男主
407.80400,1,25,16777215,Thu May 28 11:37:43 2020,0,e35300ba,33289607891124227,佩雷才牛
8.38900,1,25,16777215,Thu May 28 11:40:25 2020,0,145e394d,33289693310746631,开局BGM有点。。。。
576.87200,1,25,16777215,Thu May 28 11:47:11 2020,0,2c61b316,33289905696669703,团长你怎么了团长
1170.85600,1,25,16777215,Thu May 28 11:47:49 2020,0,d1b3206,33289926022266885,齐聚王都大决战
529.03400,5,25,16707842,Thu May 28 11:51:01 2020,0,96d4b3dd,33290026695524355,信念是无敌的
1088.77000,1,25,16777215,Thu May 28 11:51:04 2020,0,1143d2eb,33290028258951173,？。？？？
531.88200,5,25,16707842,Thu May 28 11:51:07 2020,0,96d4b3dd,33290029463764995,信念无敌
366.88100,1,25,16777215,Thu May 28 11:50:48 2020,0,25b2969,33290019529555975,哪吒
6.27900,1,25,16777215,Thu May 28 11:51:51 2020,0,a939601e,33290052629430279,来咯
720.54200,5,25,16707842,Thu May 28 11:53:28 2020,0,96d4b3dd,33290103366352903,又一个眯眯眼
723.29100,5,25,16707842,Thu May 28 11:53:33 2020,0,96d4b3dd,33290105991462919,又一个眯眯眼
