弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
812.75000,1,25,16777215,Thu May 21 23:48:04 2020,0,74e436e2,32995493527683077,恶魔只吃苹果
983.27100,1,25,16777215,Thu May 21 23:48:56 2020,0,d3c86554,32995520854622215,酷拉皮卡比他聪明些
352.07100,1,25,16777215,Thu May 21 23:51:53 2020,0,977288ec,32995613648355331,两个人必须死一个，不能让王的能力扩大
230.15000,1,25,16777215,Thu May 21 23:52:45 2020,0,6ce72cab,32995640970051591,气氛突然喜剧起来
131.75200,1,25,15138834,Thu May 21 23:52:52 2020,0,82cd1bb8,32995644623814661,所以蕾哈尔也想当公主？
487.06800,5,25,15138834,Thu May 21 23:55:48 2020,0,f486a88d,32995736748032003,这个无敌的男人他急了！！他急了！！
1337.93100,5,25,16646914,Fri May 22 00:00:32 2020,0,7b60093f,32995885735477255,短小无力
1414.61100,1,25,16777215,Fri May 22 00:00:36 2020,0,2fcb3424,32995888026615811,真好
376.46100,1,25,41194,Fri May 22 00:02:00 2020,0,ba02e699,32995932056846339,妈妈太温柔了
1209.96000,1,25,16777215,Fri May 22 00:06:02 2020,0,52fe424,32996058574880775,重点
557.28800,1,25,16777215,Fri May 22 00:06:02 2020,0,a43be597,32996058750517253,这人跟蕾哈尔一个类型
703.37300,5,25,15138834,Fri May 22 00:07:47 2020,0,ba02e699,32996113673355335,这明显读剧本了啊!
738.56800,1,25,16707842,Fri May 22 00:09:05 2020,0,ba02e699,32996154585645059,别的什么?
737.87700,5,25,6830715,Fri May 22 00:16:21 2020,0,f6366f1b,32996383391744003,公主:甚香
196.92000,1,25,16777215,Fri May 22 00:17:24 2020,0,cd3d689e,32996416105218053,这女人到底已经多老了？
241.26000,1,25,16777215,Fri May 22 00:18:19 2020,0,cd3d689e,32996445037527047,原来都是亲戚……
241.26000,1,25,16777215,Fri May 22 00:18:25 2020,0,cd3d689e,32996448010240007,一家人啊
985.82400,1,25,16777215,Fri May 22 00:21:57 2020,0,2525d69,32996559519481861,真的好可怜啊也
814.79000,1,25,16777215,Fri May 22 00:26:49 2020,0,e72cdc25,32996712563867653,何必呢
651.78300,1,25,16777215,Fri May 22 00:27:05 2020,0,6575e4da,32996721135452165,夜后期强到无敌。慢慢看吧
868.03700,1,25,16777215,Fri May 22 00:28:53 2020,0,cd3d689e,32996777564045317,苹果粉
135.61700,1,25,16777215,Fri May 22 00:37:35 2020,0,e0b8110e,32997051428503555,怪不得她会喜欢帅哥
333.47900,5,25,16646914,Fri May 22 00:40:58 2020,0,e0b8110e,32997157572182021,不知收敛就用达朗贝尔判敛法
900.32900,5,25,16646914,Fri May 22 00:49:10 2020,0,e0b8110e,32997415617822725,公主都是看脸的
829.73700,1,25,16777215,Fri May 22 00:55:21 2020,0,674fb552,32997609859186695,雷哈尔可是个绿茶呦
718.01100,1,25,16707842,Fri May 22 00:55:47 2020,0,932db1a2,32997623685185539,人在屋檐下不得不低头啊
1335.62200,1,25,16777215,Fri May 22 01:14:30 2020,0,27fce745,32998212338450499,像贝吉塔
1347.28900,1,25,16777215,Fri May 22 01:20:55 2020,0,317972e5,32998414513864711,神ed上线
