弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
143.58400,5,25,16777215,Mon May 18 23:46:55 2020,0,3c0e1b5b,32862145173520387,白色卫生纸花
882.39600,1,25,16777215,Mon May 18 23:49:24 2020,0,ce72a4dc,32862145177190405,老球迷了
7.07900,1,25,16777215,Mon May 18 23:35:38 2020,0,a9147cd0,32862145184530435,这集高虐
1271.65800,1,25,16777215,Mon May 18 23:41:16 2020,0,822600bf,32862145185054725,回收片头
385.36900,1,25,16777215,Mon May 18 23:39:02 2020,0,ce72a4dc,32862145186627589,哈哈哈哈哈
17.03000,1,25,16777215,Mon May 18 23:32:40 2020,0,ce72a4dc,32862145187151875,结婚？
5.61800,1,25,16777215,Mon May 18 23:38:00 2020,0,2ee86f27,32862145189249029,开局暴击
15.29900,1,25,6830715,Mon May 18 23:37:55 2020,0,5b8c45dc,32862145190297605,开幕雷击
651.73800,1,25,16777215,Mon May 18 23:08:44 2020,0,bd906030,32862145198161925,打麻将来分胜负吧
477.21800,1,25,16777215,Mon May 18 23:05:38 2020,0,bd906030,32862145199210501,整天没事干吧你们
440.01800,1,25,16777215,Mon May 18 23:04:48 2020,0,bd906030,32862145199734789,笑的好
436.57400,1,25,16777215,Mon May 18 19:18:21 2020,0,154786f2,32862145202880517,哈哈哈
283.91400,1,25,16777215,Mon May 18 19:15:31 2020,0,154786f2,32862145204453381,好会撩(▽)
252.71400,1,25,16777215,Mon May 18 19:14:37 2020,0,154786f2,32862145204977669,哈哈哈哈好可爱
1353.36200,1,25,16777215,Mon May 18 19:10:10 2020,0,e5ba6708,32862145206026245,这个剥开的橘子好好看。
106.15200,1,25,16777215,Mon May 18 18:16:58 2020,0,e7e3be01,32862145208647685,你们这些人，考哥.jpg
447.66300,1,25,16777215,Mon May 18 17:02:40 2020,0,66922faa,32862145209171971,哈哈哈哈哈这画面
433.22400,1,25,16777215,Mon May 18 17:02:11 2020,0,66922faa,32862145210220547,偷心的贼
1428.90500,1,25,16777215,Mon May 18 17:21:30 2020,0,66922faa,32862145211269125,好可爱啊
1371.38500,1,25,16777215,Mon May 18 17:20:12 2020,0,66922faa,32862145211793413,好想哭啊
1272.82500,1,25,16777215,Mon May 18 17:18:15 2020,0,66922faa,32862145212841989,石川应该是很难受的吧，两个爱着他他也爱着的人同时离他而去，其中一个还是亲手推开的。。。
251.68400,1,25,16777215,Mon May 18 16:58:40 2020,0,66922faa,32862145213366275,哈哈哈哈哈好可爱！
1177.58500,1,25,16777215,Mon May 18 17:15:55 2020,0,66922faa,32862145213366277,这集太忧伤了看着。。。。
1010.16500,1,25,16777215,Mon May 18 17:12:56 2020,0,66922faa,32862145214414853,这集好忧伤啊
258.10800,1,25,16777215,Mon May 18 15:55:03 2020,0,730a502b,32862145748664323,可恶的亚撒西
107.49500,1,25,16777215,Mon May 18 15:52:20 2020,0,730a502b,32862145750237187,会长不是五音不全才对的嘛
94.08300,1,25,16777215,Mon May 18 16:55:46 2020,0,66922faa,32862145754431493,没有吧？
829.79900,1,25,16777215,Mon May 18 11:33:59 2020,0,42c993fd,32862145756004355,哈哈哈哈惊喜
1345.36300,1,25,16777215,Mon May 18 10:12:59 2020,0,203c86d9,32862145760722947,这？？怎么了？？天
420.87000,1,25,16777215,Mon May 18 11:44:45 2020,0,36aa93f7,32862145761771525,你的房租呢
443.01400,1,25,16777215,Mon May 18 06:06:48 2020,0,63a841e2,32862145763868675,你的发言土土土
657.34900,1,25,16777215,Mon May 18 11:32:00 2020,0,42c993fd,32862145764392965,奇怪的组合产生了
465.39400,1,25,16777215,Sun May 17 22:47:38 2020,0,b6fdcaf9,32862145768062979,别争了，你们都得不到的（doge）
1398.97000,1,25,16777215,Sun May 17 21:52:23 2020,0,32e7be3b,32862145768587267,这个是日本经典民谣《凤尾船之歌》
134.38100,1,25,16777215,Mon May 18 09:44:32 2020,0,203c86d9,32862145768587269,勇闯无人区
1245.12000,1,25,16777215,Mon May 18 09:27:22 2020,0,a3734ec5,32862145769635845,石川怎么自己也做这种事了，那之前算什么
823.32200,1,25,16777215,Mon May 18 09:19:16 2020,0,a3734ec5,32862145770684421,妙啊
436.93200,1,25,16777215,Mon May 18 06:05:40 2020,0,63a841e2,32862145772257285,救命，土死了
1135.58100,1,25,16777215,Mon May 18 04:17:28 2020,0,da565731,32862145773305861,从小圆那拿的吧
289.95900,1,25,16777215,Sun May 17 19:06:01 2020,0,7996d1d2,32862145773830147,水吐哪了
641.59300,1,25,16777215,Sun May 17 22:49:52 2020,0,b6fdcaf9,32862145774878725,奇怪的加入增加了！
823.05500,1,25,16777215,Sun May 17 20:17:03 2020,0,6769a48,32862145778024453,哈哈哈哈喜闻乐见
872.17200,5,25,15138834,Sun May 17 20:07:11 2020,0,2af27071,32862145779597317,前方高能
