弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
1025.38600,1,25,16777215,Wed Jun 24 20:13:32 2020,0,eda4a384,34528893514809351,漂亮姐姐
1295.98900,1,25,16777215,Wed Jun 24 20:14:01 2020,0,d0e988cc,34528908374704131,大人时代变了
1120.36000,1,25,16777215,Wed Jun 24 20:14:32 2020,0,34eb089a,34528924568911875,感觉全都是愉悦犯
239.90700,1,25,16777215,Wed Jun 24 20:33:38 2020,0,f44a008b,34529525884780547,这么快？！！！
315.84300,1,25,14811775,Wed Jun 24 20:35:05 2020,0,f44a008b,34529571223109639,完结撒花感谢陪伴
60.39900,1,25,16777215,Wed Jun 24 20:35:25 2020,0,8e1f72af,34529581715685381,自来也仙仙
1189.69600,1,25,16707842,Wed Jun 24 20:42:55 2020,0,e71c69be,34529817691947015,阿，好黄
1061.03300,1,25,14811775,Wed Jun 24 20:43:54 2020,0,f44a008b,34529848621793285,看脸时代
1376.68000,1,25,16777215,Wed Jun 24 20:46:57 2020,0,568aee68,34529944565448709,好可爱
1395.88700,1,25,16777215,Wed Jun 24 20:47:21 2020,0,568aee68,34529956906139651,爱了
1396.70900,1,25,16777215,Wed Jun 24 20:53:21 2020,0,d7644ee3,34530146114863111,爱了爱了！！！
1003.11200,1,25,16777215,Wed Jun 24 21:00:54 2020,0,acd4d0a5,34530383512469507,传家宝送人了哈哈
1066.59500,1,25,16777215,Wed Jun 24 21:01:00 2020,0,a01660b4,34530386498289669,哈哈
1075.93900,1,25,16777215,Wed Jun 24 21:01:09 2020,0,a01660b4,34530391395139589,笑死
1262.01300,1,25,16777215,Wed Jun 24 21:05:45 2020,0,acd4d0a5,34530536055111683,猎人考试
761.10200,1,25,16777215,Wed Jun 24 21:13:27 2020,0,a1c97c60,34530777900777477,完结撒花，感谢观看
124.57300,1,25,16777215,Wed Jun 24 21:15:22 2020,0,22cac90e,34530838413049861,有纱织姐姐声优
1037.55800,1,25,38979,Wed Jun 24 21:18:17 2020,0,a1c97c60,34530930345377799,爱的力量？？？
1132.22900,1,25,38979,Wed Jun 24 21:19:56 2020,0,a1c97c60,34530982124060675,这个小兔兔这么猛的吗？
92.41000,1,25,16777215,Wed Jun 24 21:20:11 2020,0,bc0f3efe,34530990156152839,完结撒花
1284.50100,1,25,15138834,Wed Jun 24 21:21:55 2020,0,a1c97c60,34531044446175235,这一箭射中了你的膝盖
1180.91300,5,25,16707842,Wed Jun 24 21:26:33 2020,0,ccf05f74,34531190328262663,怎么这么黄
648.56300,1,25,16777215,Wed Jun 24 21:27:47 2020,0,7a032db4,34531228955181059,怎么感觉这个自来也在套路这女的
196.92000,1,25,16777215,Wed Jun 24 21:36:57 2020,0,31da83ed,34531517360242693,op非常奈斯
54.30400,1,25,16777215,Wed Jun 24 21:48:08 2020,0,4962243,34531869226696709,自来也！
648.98900,1,25,16777215,Wed Jun 24 21:48:47 2020,0,e4487918,34531889877352451,开局白给
172.09100,1,25,16777215,Wed Jun 24 21:51:57 2020,0,632ad883,34531989484732419,耳朵怀孕了
1311.72200,5,25,41194,Wed Jun 24 21:57:12 2020,0,31da83ed,34532154419970053,前方蓝发女主登场
1392.09000,5,25,41194,Wed Jun 24 21:59:15 2020,0,31da83ed,34532218863878147,不愧是昆A.A！！！！超A！！！！
1448.17000,5,25,41194,Wed Jun 24 22:00:31 2020,0,31da83ed,34532258892742661,什么神之塔，就是老千层饼了
1047.26800,1,25,16777215,Wed Jun 24 22:07:27 2020,0,4962243,34532477105078277,老颜控了
357.31600,1,25,16777215,Wed Jun 24 22:10:09 2020,0,92d5b6ae,34532562009849859,黑洞？？
235.24000,1,25,16777215,Wed Jun 24 22:12:32 2020,0,7f8015b8,34532636521660423,好疼
439.23800,1,25,16777215,Wed Jun 24 22:17:55 2020,0,ed86a2cb,34532806212714499,自来也
26.68100,1,25,16777215,Wed Jun 24 22:20:15 2020,0,88277477,34532879485108231,帅哥！
1037.59700,1,25,16777215,Wed Jun 24 22:29:33 2020,0,ac1c9cf9,34533171965460487,斩魄刀。？
825.01400,1,25,16777215,Wed Jun 24 22:30:30 2020,0,b8bbc3f4,34533201738727429,啊这
758.96800,1,25,15138834,Wed Jun 24 22:41:21 2020,0,d9251d3a,34533543333855235,完结了完结了，散了吧散了吧
1023.17800,1,25,16646914,Wed Jun 24 22:44:13 2020,0,24a4573c,34533633594753027,不是吧阿sir
1126.63400,1,25,16646914,Wed Jun 24 22:45:57 2020,0,24a4573c,34533687823958021,这过于看脸了吧
1050.02800,1,25,16707842,Wed Jun 24 22:46:23 2020,0,d9251d3a,34533701512593413,老涩批了
1312.40100,1,25,16646914,Wed Jun 24 22:49:19 2020,0,24a4573c,34533793976549381,不是吧阿sir
117.73100,1,25,15138834,Wed Jun 24 22:51:37 2020,0,73203af9,34533866390683655,OP:TOP0
319.80600,1,25,16777215,Wed Jun 24 22:52:01 2020,0,ff380e5e,34533878650109957,终极的是盗墓粉吗
278.23400,1,25,16777215,Wed Jun 24 23:00:25 2020,0,c3edcf53,34534142887591939,慢放也好像有什么叫什么塔
254.72000,1,25,16777215,Wed Jun 24 23:04:11 2020,0,152479cd,34534261319532547,鸭蛋
192.14600,1,25,16777215,Wed Jun 24 23:12:26 2020,0,410084ba,34534520870404101,看来感觉很nb
238.99200,1,25,16777215,Wed Jun 24 23:13:13 2020,0,410084ba,34534545935040517,不是吧，阿sir
1127.13700,1,25,16777215,Wed Jun 24 23:16:49 2020,0,3d53ed35,34534659177578503,开局一张脸，装备全靠捡
1047.89400,1,25,16777215,Wed Jun 24 23:19:28 2020,0,cf66793b,34534742275653635,太伤人心了，看脸的时代
1240.03700,1,25,16707842,Wed Jun 24 23:30:01 2020,0,410084ba,34535074374877191,大逃杀
456.80900,1,25,52480,Wed Jun 24 23:32:12 2020,0,a9d2770d,34535142584745989,斯巴拉西
58.55900,1,25,16777215,Wed Jun 24 23:36:05 2020,0,4063ee99,34535265023295495,自来也！
17.90100,1,25,16777215,Wed Jun 24 23:38:53 2020,0,714500eb,34535353265684483,纱织姐姐！
372.32200,1,25,16646914,Wed Jun 24 23:43:08 2020,0,fd4b19ed,34535486928191495,去吧精灵球！！捉住这只超梦pro！！！
921.05000,1,25,16777215,Wed Jun 24 23:46:53 2020,0,60053bd0,34535604757200899,雪之下
4.81100,1,25,16777215,Wed Jun 24 23:54:51 2020,0,a857b8fb,34535855185461251,开局即千层饼
10.99100,1,25,16777215,Thu Jun 25 00:13:25 2020,0,b12fbd1b,34536439177281543,梦开始的地方
1056.41400,1,25,16777215,Thu Jun 25 00:15:59 2020,0,3a25eb06,34536519978975239,长得帅真的可以为所欲为
1008.80600,1,25,16777215,Thu Jun 25 00:18:11 2020,0,a22a0a92,34536589575061509,真就龙傲天开局呗，唉。。。
1051.36600,1,25,16777215,Thu Jun 25 00:19:19 2020,0,a22a0a92,34536624950870021,hetui～
1019.79700,1,25,16777215,Thu Jun 25 00:23:54 2020,0,4cfead38,34536769213431813,你麦炸了
1298.01700,1,25,16777215,Thu Jun 25 00:25:05 2020,0,a22a0a92,34536806186221573,时代变了哈哈哈哈
33.70300,1,25,16777215,Thu Jun 25 00:25:36 2020,0,a864821b,34536822458548227,纱织姐姐～～～
184.46800,5,25,16777215,Thu Jun 25 00:30:49 2020,0,11e874c7,34536986823884807,狗娃
1021.67000,1,25,16777215,Thu Jun 25 00:31:50 2020,0,bb197fbf,34537018928136199,好像八犬传里一个女的
1506.30700,1,25,16777215,Thu Jun 25 00:42:06 2020,0,503e66e4,34537341721247749,好听哎
915.69400,1,25,16777215,Thu Jun 25 00:46:49 2020,0,ef2ed21a,34537490196463623,扒雷烙
