弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
216.55700,1,25,16707842,Sat May 16 12:52:43 2020,0,5ad00c43,32748385841709059,索隆黑了不少
1064.86700,1,25,16777215,Sat May 16 12:54:33 2020,0,ee136005,32748443380219907,好可爱！！！
1342.36900,1,25,16777215,Sat May 16 12:58:37 2020,0,f95e4d1f,32748571374125059,女主是昆
1359.94600,1,25,16777215,Sat May 16 13:00:09 2020,0,ee136005,32748619425120263,bgm好棒。
1031.25000,5,25,15138834,Sat May 16 13:03:18 2020,0,4cf7edcf,32748718772453383,火莲
517.90300,1,25,15138834,Sat May 16 13:06:20 2020,0,b58598ee,32748813730447367,让男主开
1220.11800,5,25,38979,Sat May 16 13:07:08 2020,0,4cf7edcf,32748839308886019,绿四月
1023.51000,1,25,15138834,Sat May 16 13:16:36 2020,0,b58598ee,32749136695001095,送命题
1128.06900,1,25,15138834,Sat May 16 13:18:36 2020,0,b58598ee,32749199882190853,蕾哈尔
508.92700,1,25,16777215,Sat May 16 13:29:23 2020,0,13a9ff84,32749539282649091,欧皇不需要线索
782.84600,1,25,16777215,Sat May 16 13:34:49 2020,0,3c714f3,32749709779533827,意外的很聪明
338.68400,1,25,16777215,Sat May 16 13:35:03 2020,0,9bcb5b5b,32749717350776839,东巴
491.14400,1,25,16777215,Sat May 16 13:37:56 2020,0,9bcb5b5b,32749807946170371,鳄鱼是雷奥利奥
100.91200,1,25,15138834,Sat May 16 13:44:06 2020,0,260d8b7e,32750002126192645,绝杀水晶宫夺冠
85.02000,1,25,16777215,Sat May 16 13:53:25 2020,0,d748ac2f,32750295202660355,如果不是疫情还有re0和刀剑
717.28100,1,25,16777215,Sat May 16 13:55:27 2020,0,69e04c7b,32750359081385987,鳄鱼，永远滴神
905.61300,5,25,15138834,Sat May 16 14:00:36 2020,0,260d8b7e,32750520799592451,大乱斗？
1025.25900,1,25,16777215,Sat May 16 14:31:01 2020,0,ce20edc5,32751477971222531,中忍考试？
1163.16200,1,25,16777215,Sat May 16 14:35:37 2020,0,4cb1f270,32751622683099139,女主不是那个什么公主吗
244.62600,1,25,16777215,Sat May 16 14:47:27 2020,0,b4370d21,32751994885111813,妈宝男爷
593.20600,1,25,16777215,Sat May 16 14:53:27 2020,0,b4370d21,32752183714775047,不是爱情，估计是关系好而已
840.46100,1,25,16777215,Sat May 16 14:58:18 2020,0,b4370d21,32752336182968327,男妈妈
681.72500,5,25,16777215,Sat May 16 15:00:00 2020,0,ef64583,32752389666111493,推理了个寂寞
453.35900,1,25,16777215,Sat May 16 15:06:06 2020,0,5e19608,32752581268733957,这造型，不做个女的太可惜了吧
186.90600,1,25,16777215,Sat May 16 15:20:09 2020,0,dffce98e,32753023299092483,井底之龟
52.93200,1,25,16777215,Sat May 16 15:58:22 2020,0,697f9d67,32754225707483141,建议屏蔽{建议屏蔽[建议屏蔽(建议屏蔽)]}
953.54600,1,25,16777215,Sat May 16 16:02:23 2020,0,f0b07a9,32754352166273031,敌敌畏
954.32600,5,25,15138834,Sat May 16 16:02:36 2020,0,f0b07a9,32754359065903107,敌敌畏
954.32600,5,25,41194,Sat May 16 16:02:46 2020,0,f0b07a9,32754364044541959,敌敌畏
954.32600,5,25,9487136,Sat May 16 16:02:53 2020,0,f0b07a9,32754367469191175,敌敌畏
28.31800,1,25,15138834,Sat May 16 16:08:10 2020,0,29b69b15,32754534032343043,魔鬼太难了
