弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
622.32600,5,25,8700107,Sat Jun  6 23:21:54 2020,0,1994827f,33719446387294213,夜对蕾哈尔是感情不是亚撒西能说得清的
916.66800,1,25,16777215,Sat Jun  6 23:22:48 2020,0,6363bb4b,33719474392137731,泪目们把公屏打在兄弟上
627.10600,5,25,8700107,Sat Jun  6 23:24:57 2020,0,1994827f,33719541917286403,比起“卑微爱情”，夜对蕾哈尔的依赖更类似一种雏鸟情结
163.97600,1,25,16777215,Sat Jun  6 23:25:34 2020,0,9f174c80,33719561695002631,这集的主题是这个公主?
629.54600,5,25,8700107,Sat Jun  6 23:26:24 2020,0,1994827f,33719587776757763,在夜上塔之前，他知道的学习的（几乎？）全部来自蕾哈尔
1015.65000,1,25,15138834,Sat Jun  6 23:27:03 2020,0,ac62dee5,33719608207212547,男主现在的行为是符合设定的
632.14600,5,25,8700107,Sat Jun  6 23:29:15 2020,0,1994827f,33719677545349125,换言之，夜对世界的认知暂时以蕾哈尔为基础
924.11600,1,25,16777215,Sat Jun  6 23:45:11 2020,0,22d4bce4,33720178770968581,还真好看
208.65400,1,25,16777215,Sat Jun  6 23:47:59 2020,0,c911789,33720266576101383,....
214.07700,1,25,16777215,Sat Jun  6 23:48:04 2020,0,c911789,33720269414596615,.....
978.55900,1,25,16777215,Sat Jun  6 23:50:01 2020,0,327e2b5f,33720330861674499,刀快
805.74400,1,25,16777215,Sat Jun  6 23:53:37 2020,0,27d45071,33720444090056707,快补刀
758.66900,1,25,15138834,Sat Jun  6 23:56:29 2020,0,a1e08a51,33720534207823879,bgm起
533.46300,1,25,16777215,Sun Jun  7 00:00:27 2020,0,e6a4fa3,33720658567364611,快杀了她啊！
535.25800,1,25,16777215,Sun Jun  7 00:00:41 2020,0,e6a4fa3,33720665988136965,快杀了她
698.41800,1,25,16777215,Sun Jun  7 00:03:45 2020,0,e6a4fa3,33720762854539267,快点动手啊你
1118.82000,1,25,16777215,Sun Jun  7 00:04:11 2020,0,a499684c,33720776093859845,看的这气啊
925.37400,1,25,16777215,Sun Jun  7 00:04:42 2020,0,ccb4781b,33720792617844743,全是独角
807.63900,1,25,16777215,Sun Jun  7 00:05:44 2020,0,e6a4fa3,33720825145196551,干得漂亮小老弟
